t(s),l,r
0.0011570453643798828,-0.0211,-0.0211
0.002379179000854492,-0.0211,-0.0211
0.0035181045532226562,-0.0211,-0.0211
0.004682064056396484,-0.0211,-0.0211
0.005843400955200195,-0.0211,-0.0211
0.006919384002685547,-0.0211,-0.0211
0.008124351501464844,-0.0211,-0.0211
0.009284257888793945,-0.0211,-0.0211
0.010328292846679688,-0.0211,-0.0211
0.011352300643920898,-0.0211,-0.0211
0.012430906295776367,-0.0211,-0.0211
0.013452529907226562,-0.0211,-0.0211
0.014472246170043945,-0.0211,-0.0211
0.01549077033996582,-0.0211,-0.0211
0.016515016555786133,-0.0211,-0.0211
0.01753687858581543,-0.0211,-0.0211
0.018558740615844727,-0.0211,-0.0211
0.019580841064453125,-0.0211,-0.0211
0.02060389518737793,-0.0211,-0.0211
0.021808862686157227,-0.0211,-0.0211
0.02283620834350586,-0.0211,-0.0211
0.02386021614074707,-0.0211,-0.0211
0.024884939193725586,-0.0211,-0.0211
0.025905370712280273,-0.0211,-0.0211
0.02692699432373047,-0.0211,-0.0211
0.027947187423706055,-0.0211,-0.0211
0.028964757919311523,-0.0211,-0.0211
0.029984235763549805,-0.0211,-0.0211
0.031007766723632812,-0.0211,-0.0211
0.03204655647277832,-0.0211,-0.0211
0.033066511154174805,-0.0211,-0.0211
0.034087181091308594,-0.0211,-0.0211
0.035108327865600586,-0.0211,-0.0211
0.03612971305847168,-0.0211,-0.0211
0.03715205192565918,-0.0211,-0.0211
0.03817391395568848,-0.0211,-0.0211
0.039193153381347656,-0.0211,-0.0211
0.040212392807006836,-0.0211,-0.0211
0.04123497009277344,-0.0211,-0.0211
0.04227280616760254,-0.0211,-0.0211
0.04329037666320801,-0.0211,-0.0211
0.04430866241455078,-0.0211,-0.0211
0.04532670974731445,-0.0211,-0.0211
0.046346426010131836,-0.0211,-0.0211
0.04736638069152832,-0.0211,-0.0211
0.0483853816986084,-0.0211,-0.0211
0.049405813217163086,-0.0211,-0.0211
0.050424814224243164,-0.0211,-0.0211
0.05145859718322754,-0.0211,-0.0211
0.05247902870178223,-0.0211,-0.0211
0.05349922180175781,-0.0211,-0.0211
0.0545201301574707,-0.0211,-0.0211
0.0555415153503418,-0.0211,-0.0211
0.05656075477600098,-0.0211,-0.0211
0.05758190155029297,-0.0211,-0.0211
0.05860137939453125,-0.0211,-0.0211
0.05962085723876953,-0.0211,-0.0211
0.060640573501586914,-0.0211,-0.0211
0.06167459487915039,-0.0211,-0.0211
0.0626974105834961,-0.0211,-0.0211
0.06371808052062988,-0.0211,-0.0211
0.06474089622497559,-0.0211,-0.0211
0.06576323509216309,-0.0211,-0.0211
0.06678962707519531,-0.0211,-0.0211
0.06781625747680664,-0.0211,-0.0211
0.06884407997131348,-0.0211,-0.0211
0.07352995872497559,-0.0211,-0.0211
0.08948516845703125,-0.0211,-0.0211
0.10544514656066895,-0.0211,-0.0211
0.12139272689819336,0.0211,-0.0596
0.13745808601379395,0.2346,-0.2557
0.15336012840270996,0.2346,-0.2557
0.16923856735229492,0.5467,-0.525
0.18518996238708496,0.5467,-0.525
0.20113587379455566,0.9141,0.7608
0.217085599899292,0.9141,0.7608
0.23302721977233887,1.3243,0.3846
0.24901127815246582,1.3243,0.3846
0.26500916481018066,1.7217,0.0
0.28090524673461914,1.7217,0.0
0.29686570167541504,1.9865,-0.2647
0.3128042221069336,1.9865,-0.2647
0.32875490188598633,2.1788,-0.4782
0.3446950912475586,2.1788,-0.4782
0.3606584072113037,2.3326,-2.2647
0.3767819404602051,2.4608,-2.4057
0.39255595207214355,2.4608,-2.4057
0.40849781036376953,2.5724,-2.5083
0.4244554042816162,2.5724,-2.5083
0.4404106140136719,2.6576,-2.5807
0.4564218521118164,2.6576,-2.5807
0.472320556640625,2.7217,-2.6448
0.4882340431213379,2.7217,-2.6448
0.5042204856872559,2.7769,-2.6916
0.5201394557952881,2.7769,-2.6916
0.53607177734375,2.8198,-2.7301
0.5520799160003662,2.8198,-2.7301
0.5679581165313721,2.85,-2.7602
0.5839037895202637,2.85,-2.7602
0.5998315811157227,2.8711,-2.7903
0.6159074306488037,2.8884,-2.8032
0.6317558288574219,2.8884,-2.8032
0.6477041244506836,2.8967,-2.8243
0.6636524200439453,2.8967,-2.8243
0.6796021461486816,2.9057,-2.8371
0.6955742835998535,2.9057,-2.8371
0.71274733543396,2.9096,-2.8416
0.7286508083343506,2.9096,-2.8416
0.7446017265319824,2.9096,-2.8416
0.7606258392333984,2.9096,-2.8416
0.7765102386474609,2.9185,-2.8416
0.7925505638122559,2.9185,-2.8416
0.8084268569946289,2.9269,-2.8326
0.8243348598480225,2.9269,-2.8326
0.8403017520904541,2.9314,-2.8288
0.8563587665557861,2.9397,-2.8326
0.872394323348999,2.9397,-2.8326
0.8882837295532227,2.9487,-2.8326
0.9040799140930176,2.9487,-2.8326
0.9200835227966309,2.9487,-2.8455
0.935981035232544,2.9487,-2.8455
0.9519624710083008,2.9525,-2.8628
0.9678614139556885,2.9525,-2.8628
0.9837915897369385,2.9525,-2.8711
0.9997458457946777,2.9525,-2.8711
1.015937089920044,2.9525,-2.8756
1.0320637226104736,2.9525,-2.8756
1.048534870147705,2.948,-2.8839
1.0636820793151855,2.948,-2.8839
1.0795135498046875,2.9397,-2.8839
1.0956075191497803,2.9352,-2.8756
1.1114826202392578,2.9352,-2.8756
1.127115249633789,2.9352,-2.8673
1.1431119441986084,2.9352,-2.8673
1.1590876579284668,2.9352,-2.8628
1.174966812133789,2.9352,-2.8628
1.1909065246582031,2.9397,-2.8583
1.2068569660186768,2.9397,-2.8583
1.2229814529418945,2.9442,-2.8538
1.239053726196289,2.9442,-2.8538
1.2550032138824463,2.9442,-2.8583
1.2709381580352783,2.9442,-2.8583
1.2868988513946533,2.9397,-2.8711
1.3029019832611084,2.9397,-2.8711
1.3188035488128662,2.9442,-2.8801
1.3348743915557861,2.9397,-2.8839
1.350705623626709,2.9397,-2.8839
1.366661548614502,2.948,-2.8884
1.3827569484710693,2.948,-2.8884
1.398555040359497,2.9435,-2.8884
1.4145073890686035,2.9435,-2.8884
1.4304935932159424,2.948,-2.8801
1.4464309215545654,2.948,-2.8801
1.4624543190002441,2.948,-2.8801
1.478320598602295,2.948,-2.8801
1.4942939281463623,2.957,-2.8756
1.5102214813232422,2.957,-2.8756
1.526160717010498,2.9525,-2.8756
1.542191982269287,2.9525,-2.8756
1.5581071376800537,2.9653,-2.8756
1.574167013168335,2.9698,-2.8756
1.5900013446807861,2.9698,-2.8756
1.6059448719024658,2.9698,-2.8756
1.621955394744873,2.9698,-2.8756
1.6378836631774902,2.9698,-2.8839
1.6538441181182861,2.9698,-2.8839
1.6697981357574463,2.9653,-2.8839
1.6857223510742188,2.9653,-2.8839
1.7017366886138916,2.957,-2.8839
1.7176408767700195,2.957,-2.8839
1.733612060546875,2.948,-2.8839
1.7495574951171875,2.948,-2.8839
1.7654826641082764,2.9442,-2.8839
1.781416893005371,2.9442,-2.8839
1.7973897457122803,2.9397,-2.8756
1.813516616821289,2.9397,-2.8673
1.829289436340332,2.9397,-2.8673
1.8452556133270264,2.9397,-2.8628
1.861217975616455,2.9397,-2.8628
1.8771460056304932,2.9442,-2.8673
1.893158197402954,2.9442,-2.8673
1.9090590476989746,2.9525,-2.8711
1.925034523010254,2.9525,-2.8711
1.9409863948822021,2.957,-2.8756
1.9569430351257324,2.957,-2.8756
1.9729702472686768,2.9698,-2.8884
1.9888732433319092,2.9698,-2.8884
2.00481915473938,2.9737,-2.8967
2.0207834243774414,2.9737,-2.8967
2.036756992340088,2.982,-2.8967
2.052847146987915,2.9737,-2.8929
2.0686442852020264,2.9737,-2.8929
2.0846590995788574,2.9698,-2.8929
2.100569725036621,2.9698,-2.8929
2.1165544986724854,2.9608,-2.8839
2.132521152496338,2.9608,-2.8839
2.1484107971191406,2.9608,-2.8756
2.164360761642456,2.9608,-2.8756
2.180325746536255,2.957,-2.8711
2.1962974071502686,2.957,-2.8711
2.2122716903686523,2.9608,-2.8666
2.2281956672668457,2.9608,-2.8666
2.244145393371582,2.9653,-2.8666
2.260096549987793,2.9653,-2.8666
2.276055097579956,2.9698,-2.8756
2.2921535968780518,2.9698,-2.8839
2.307964324951172,2.9698,-2.8839
2.323960304260254,2.9698,-2.8929
2.3398919105529785,2.9698,-2.8929
2.3559927940368652,2.9782,-2.9012
2.3721702098846436,2.9782,-2.9012
2.388254404067993,2.9826,-2.8967
2.4037773609161377,2.9826,-2.8967
2.419607639312744,2.9782,-2.8929
2.4354991912841797,2.9782,-2.8929
2.451686382293701,2.9737,-2.8839
2.4673774242401123,2.9737,-2.8839
2.4833779335021973,2.9698,-2.8801
2.4993526935577393,2.9698,-2.8801
2.5143113136291504,2.9525,-2.8673
2.530388832092285,2.9442,-2.8583
2.5464861392974854,2.9442,-2.8583
2.5621864795684814,2.9442,-2.85
2.578094959259033,2.9442,-2.85
2.594022035598755,2.9397,-2.8416
2.6098928451538086,2.9397,-2.8416
2.62585711479187,2.9397,-2.8326
2.641815185546875,2.9397,-2.8326
2.6577513217926025,2.9397,-2.8371
2.6737236976623535,2.9397,-2.8371
2.689655065536499,2.9352,-2.85
2.705643892288208,2.9352,-2.85
2.7216033935546875,2.9352,-2.8544
2.737534761428833,2.9352,-2.8544
2.753493309020996,2.9352,-2.8583
2.7695417404174805,2.9307,-2.8544
2.785372495651245,2.9307,-2.8544
2.8013665676116943,2.9352,-2.85
2.8172855377197266,2.9352,-2.85
2.8332581520080566,2.9397,-2.8455
2.8491971492767334,2.9397,-2.8455
2.8651504516601562,2.9397,-2.8455
2.8811473846435547,2.9397,-2.8455
2.897094488143921,2.9525,-2.85
2.913031578063965,2.9525,-2.85
2.9290060997009277,2.9608,-2.8583
2.9449303150177,2.9608,-2.8583
2.96087908744812,2.9653,-2.8628
2.9768433570861816,2.9653,-2.8628
2.9927890300750732,2.9737,-2.8666
3.0088531970977783,2.9782,-2.8756
3.024700880050659,2.9782,-2.8756
3.0406429767608643,2.9737,-2.8801
3.05660080909729,2.9737,-2.8801
3.0726325511932373,2.9782,-2.8884
3.088552236557007,2.9782,-2.8884
3.1044883728027344,2.982,-2.8967
3.120431661605835,2.982,-2.8967
3.1363770961761475,2.982,-2.9012
3.15238356590271,2.982,-2.9012
3.168281078338623,2.9865,-2.8967
3.1842525005340576,2.9865,-2.8967
3.200207471847534,2.991,-2.8929
3.216216802597046,2.991,-2.8929
3.2333266735076904,2.982,-2.8884
3.2493388652801514,2.9737,-2.8801
3.265180826187134,2.9737,-2.8801
3.281135082244873,2.9698,-2.8801
3.2971017360687256,2.9698,-2.8801
3.313072919845581,2.9653,-2.8756
3.3289880752563477,2.9653,-2.8756
3.3449385166168213,2.9653,-2.8801
3.3608949184417725,2.9653,-2.8801
3.376925230026245,2.9737,-2.8801
3.392852544784546,2.9737,-2.8801
3.4087963104248047,2.9737,-2.8884
3.424745559692383,2.9737,-2.8884
3.4406778812408447,2.9737,-2.8839
3.4566853046417236,2.9737,-2.8839
3.4726436138153076,2.9737,-2.8884
3.488687515258789,2.9698,-2.8884
3.5045721530914307,2.9698,-2.8884
3.5205161571502686,2.9653,-2.8884
3.5364699363708496,2.9653,-2.8884
3.5524544715881348,2.9653,-2.8801
3.5683751106262207,2.9653,-2.8801
3.5843276977539062,2.9608,-2.8801
3.600294828414917,2.9608,-2.8801
3.616248369216919,2.9608,-2.8801
3.632214307785034,2.9608,-2.8801
3.6481494903564453,2.9608,-2.8801
3.6641077995300293,2.9608,-2.8801
3.680060863494873,2.9608,-2.8801
3.6960246562957764,2.9608,-2.8801
3.7120041847229004,2.9653,-2.8884
3.728015661239624,2.9653,-2.8884
3.7438788414001465,2.9653,-2.8884
3.759887933731079,2.9608,-2.8884
3.7757914066314697,2.9608,-2.8884
3.7917885780334473,2.9608,-2.8884
3.8077521324157715,2.9608,-2.8884
3.8236658573150635,2.957,-2.8884
3.8396353721618652,2.957,-2.8884
3.8556041717529297,2.9525,-2.8846
3.871612071990967,2.9525,-2.8846
3.887514352798462,2.9525,-2.8846
3.9035418033599854,2.9525,-2.8846
3.919442653656006,2.957,-2.8846
3.9354255199432373,2.957,-2.8846
3.9513604640960693,2.957,-2.8846
3.9674267768859863,2.9653,-2.8846
3.9833810329437256,2.9653,-2.8846
3.999255657196045,2.9737,-2.8801
4.015209913253784,2.9737,-2.8801
4.031153440475464,2.982,-2.8839
4.04709792137146,2.982,-2.8839
4.063100099563599,2.982,-2.8884
4.0790488719940186,2.982,-2.8884
4.095021486282349,2.982,-2.8929
4.1109778881073,2.982,-2.8929
4.126927375793457,2.9782,-2.8929
4.142974615097046,2.9782,-2.8929
4.158831357955933,2.9737,-2.8967
4.174815654754639,2.9737,-2.8967
4.190779447555542,2.9698,-2.8929
4.206839561462402,2.9698,-2.8839
4.222716569900513,2.9698,-2.8839
4.238667249679565,2.9653,-2.8801
4.254621505737305,2.9653,-2.8801
4.270581960678101,2.9653,-2.8756
4.2866997718811035,2.9653,-2.8756
4.302619934082031,2.9608,-2.8756
4.318498373031616,2.9608,-2.8756
4.334434509277344,2.957,-2.8711
4.35038948059082,2.957,-2.8711
4.366377115249634,2.9608,-2.8756
4.382460117340088,2.9608,-2.8756
4.398289680480957,2.9653,-2.8801
4.414234399795532,2.9653,-2.8801
4.43020486831665,2.957,-2.8839
4.446302175521851,2.957,-2.8884
4.462188959121704,2.957,-2.8884
4.47812819480896,2.9608,-2.8929
4.494065046310425,2.9608,-2.8929
4.510053634643555,2.957,-2.8929
4.526001214981079,2.957,-2.8929
4.542047023773193,2.957,-2.8884
4.557947158813477,2.957,-2.8884
4.573923826217651,2.9608,-2.8839
4.58989405632019,2.9608,-2.8839
4.605923175811768,2.9525,-2.8801
4.62189507484436,2.9525,-2.8801
4.637822866439819,2.9525,-2.8756
4.653781414031982,2.9525,-2.8756
4.669756174087524,2.9525,-2.8711
4.685853719711304,2.9525,-2.8666
4.701748371124268,2.9525,-2.8666
4.71767783164978,2.957,-2.8666
4.7336366176605225,2.957,-2.8666
4.749628782272339,2.9608,-2.8711
4.765605688095093,2.9608,-2.8711
4.781598329544067,2.957,-2.8756
4.797526121139526,2.957,-2.8756
4.813494443893433,2.957,-2.8756
4.829448223114014,2.957,-2.8756
4.845412254333496,2.957,-2.8801
4.861361265182495,2.957,-2.8801
4.8773345947265625,2.9525,-2.8756
4.893321514129639,2.9525,-2.8756
4.909255504608154,2.9608,-2.8628
4.925314426422119,2.957,-2.8583
4.941163063049316,2.957,-2.8583
4.957165718078613,2.948,-2.8583
4.973138809204102,2.948,-2.8583
4.989093065261841,2.948,-2.8538
5.005022048950195,2.948,-2.8538
5.0210044384002686,2.9435,-2.8583
5.037004709243774,2.9435,-2.8583
5.0529656410217285,2.9435,-2.8628
5.068893194198608,2.9435,-2.8628
5.08486533164978,2.948,-2.8666
5.100834608078003,2.948,-2.8666
5.116790771484375,2.9442,-2.8666
5.132786273956299,2.9442,-2.8666
5.148759603500366,2.9397,-2.8666
5.164804220199585,2.948,-2.8666
5.1806724071502686,2.948,-2.8666
5.196642875671387,2.948,-2.8666
5.21259069442749,2.948,-2.8666
5.228529930114746,2.948,-2.8583
5.2444987297058105,2.948,-2.8583
5.260478734970093,2.957,-2.8628
5.276407957077026,2.957,-2.8628
5.292378664016724,2.957,-2.8673
5.3083226680755615,2.957,-2.8673
5.324251651763916,2.957,-2.8673
5.340214014053345,2.957,-2.8673
5.356165647506714,2.957,-2.8711
5.372229099273682,2.957,-2.8711
5.3881542682647705,2.957,-2.8711
5.4041759967803955,2.9608,-2.8673
5.4200122356414795,2.9608,-2.8673
5.435960531234741,2.9608,-2.8711
5.451955795288086,2.9608,-2.8711
5.467884302139282,2.957,-2.8756
5.483869791030884,2.957,-2.8756
5.499805927276611,2.957,-2.8711
